name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Mariana Street,1,168749452,1,108,,52.49519132,1,29,1000,residential,6,"LINESTRING (-111.918685 33.4188785, -111.9186841 33.4184064)",auto,1,0.108610741
South Packard Drive,2,265805477,2,209,,105.0170796,1,29,1000,unclassified,11,"LINESTRING (-111.9293144 33.4297279, -111.9293116 33.4293114, -111.9293075 33.428878, -111.9293051 33.4287835)",auto,1,0.217276716
South Farmer Avenue,3,5590090,3,53,,76.11496408,1,29,1000,residential,6,"LINESTRING (-111.9442627 33.4302, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)",auto,1,0.157479236
South Ash Avenue,4,5594960,4,76,,132.3677025,1,29,1000,residential,6,"LINESTRING (-111.9424473 33.415, -111.9424521 33.4157344, -111.9424522 33.4157881, -111.9424525 33.4159781, -111.9424526 33.4160145, -111.9424528 33.4161632, -111.9424528 33.4161904)",auto,1,0.273864212
West 10th Street,5,5608312,6,61,,69.97886897,1,29,1000,residential,6,"LINESTRING (-111.945 33.4194026, -111.944246 33.4194019)",auto,1,0.144783867
West 7th Street,6,5617602,7,57,,65.02922426,1,25,1000,residential,6,"LINESTRING (-111.945 33.4231773, -111.9448229 33.4231773, -111.9442993 33.4231771)",auto,1,0.156070138
West Howe Street,7,5640993,8,64,,70.44556337,1,29,1000,residential,6,"LINESTRING (-111.945 33.4168248, -111.9448138 33.4168241, -111.9443327 33.4168225, -111.944241 33.4168222)",auto,1,0.145749441
West 6th Street,8,5654759,9,56,,64.6584516,1,29,1000,residential,6,"LINESTRING (-111.945 33.4243234, -111.9447197 33.4243219, -111.9443033 33.4243197)",auto,1,0.133776107
West 12th Street,9,5662410,10,65,,70.51083584,1,29,1000,residential,6,"LINESTRING (-111.945 33.4160696, -111.9448136 33.4160691, -111.9442403 33.4160678)",auto,1,0.145884488
West 9th Street,10,5669181,11,59,,69.62524471,1,29,1000,residential,6,"LINESTRING (-111.945 33.420639, -111.9442498 33.420638)",auto,1,0.14405223
West 11th Street,11,5691748,12,63,,70.17689868,1,29,1000,residential,6,"LINESTRING (-111.945 33.4177879, -111.9448141 33.4177868, -111.9443299 33.4177838, -111.9442439 33.4177833)",auto,1,0.145193583
East Rio Salado Parkway,12,23617748,13,229,,25.55027706,2,35,1000,secondary,4,"LINESTRING (-111.9351443 33.4302, -111.9349285 33.4300573)",auto,0,0.043800475
West Rio Salado Parkway,13,148624249,22,302,,48.98938062,2,39,1000,secondary,4,"LINESTRING (-111.9433042 33.4302, -111.9433033 33.4301913, -111.9432646 33.4300587, -111.9431999 33.4298849, -111.9431442 33.4297815)",auto,0,0.075368278
East Vista del Lago Drive,14,257009023,23,218,,117.4721024,1,29,1000,unclassified,11,"LINESTRING (-111.9206533 33.4302, -111.9207086 33.4301917, -111.9207659 33.4301789, -111.9208004 33.4301685, -111.9208497 33.43015, -111.9208789 33.430136, -111.9209091 33.4301195, -111.9209325 33.4301047, -111.9209597 33.4300862, -111.920978 33.4300724, -111.9210043 33.4300514, -111.9210217 33.4300348, -111.9210425 33.4300133, -111.9210636 33.4299886, -111.9210909 33.4299476, -111.9211149 33.4299012, -111.921131 33.4298604, -111.9211405 33.4298288, -111.9211468 33.4297978, -111.9211515 33.4297408, -111.9211588 33.4295021, -111.9211588 33.4293611)",auto,1,0.243045729
East Vista del Lago Drive,15,257009023,24,198,,83.83858437,1,29,1000,unclassified,11,"LINESTRING (-111.9205264 33.4302, -111.9203069 33.4301693, -111.920078 33.4301473, -111.9198489 33.4301386, -111.9196278 33.4301419)",auto,1,0.17345914
East Vista del Lago Drive,16,257009023,25,198,,52.05567038,1,29,1000,unclassified,11,"LINESTRING (-111.9190716 33.4302, -111.9193373 33.4301632, -111.9196278 33.4301419)",auto,1,0.107701387
South Farmer Avenue,17,305490063,26,65,,118.7341517,1,25,1000,residential,6,"LINESTRING (-111.9442379 33.415, -111.9442386 33.4153056, -111.9442403 33.4160678)",auto,1,0.284961964
South Mill Avenue,18,395489956,28,128,,114.3195259,2,39,1000,secondary,4,"LINESTRING (-111.9398526 33.415, -111.9398529 33.4150571, -111.9398521 33.415431, -111.9398435 33.4155958, -111.9398253 33.4156688, -111.939792 33.4157247, -111.9397232 33.4158205, -111.9395884 33.4159654)",auto,0,0.175876194
West 1st Street,19,402556256,29,337,,18.05003542,1,29,1000,tertiary,5,"LINESTRING (-111.945 33.4291403, -111.9448055 33.4291415)",auto,1,0.037344901
East University Drive,20,436794677,30,287,,31.56377698,2,40,1000,secondary,4,"LINESTRING (-111.9178 33.4220186, -111.9178245 33.4220186, -111.9181401 33.4220184)",auto,1,0.047345665
South Mill Avenue,21,436794683,31,98,,52.07389829,3,30,1000,primary,3,"LINESTRING (-111.9401279 33.4302, -111.940113 33.4300629, -111.9400948 33.4297326)",auto,0,0.104147797
West University Drive,22,436794685,32,277,,31.703262,2,40,1000,primary,3,"LINESTRING (-111.945 33.421896, -111.9449749 33.4218959, -111.9448724 33.4218956, -111.9446584 33.4218949)",auto,1,0.047554893
East Rio Salado Parkway,23,436797320,34,216,,11.11898633,3,39,1000,secondary,4,"LINESTRING (-111.9178 33.4293355, -111.9179198 33.4293372)",auto,0,0.017106133
,24,472037661,35,229,,20.28034353,1,39,1000,secondary,4,"LINESTRING (-111.9350646 33.4302, -111.9349285 33.4300573)",auto,0,0.031200529
,25,590151127,39,371,,0.244628838,1,29,1000,residential,6,"LINESTRING (-111.9445362 33.4302, -111.9445362 33.4301978)",auto,1,0.000506129
East Orange Street,26,656385562,42,108,,82.1716671,1,29,1000,residential,6,"LINESTRING (-111.9178 33.4184012, -111.9178114 33.4184058, -111.9181954 33.4184067, -111.9186841 33.4184064)",auto,1,0.170010346
South Pier Drive,27,670986090,43,378,,0.671955807,1,29,1000,unclassified,11,"LINESTRING (-111.9180917 33.4302, -111.9180887 33.4301945)",auto,1,0.001390253
,28,687275943,44,370,,7.332431576,1,29,1000,residential,6,"LINESTRING (-111.945 33.4294296, -111.9449232 33.4294451)",auto,1,0.015170548
South Maple Avenue,29,778414511,47,75,,133.8840454,1,29,1000,residential,6,"LINESTRING (-111.9411921 33.415, -111.941205 33.416204)",auto,1,0.277001473
West 5th Street,30,812683573,49,408,,28.48693718,1,29,1000,residential,6,"LINESTRING (-111.945 33.4254599, -111.9449781 33.4254568, -111.944837 33.4254568, -111.944695 33.4254749)",auto,0,0.058938491
East 6th Street,31,544548410,52,67,,147.8170069,1,29,1000,residential,6,"LINESTRING (-111.9275146 33.4245016, -111.9276205 33.4245014, -111.9278961 33.424498, -111.9281214 33.4244812, -111.9282474 33.4244664, -111.9283655 33.4244526, -111.928643 33.4244053, -111.9287135 33.4243933, -111.9289046 33.4243452, -111.9290798 33.4242989)",auto,1,0.30582829
East 6th Street,32,544548410,52,207,,105.1687659,1,29,1000,residential,6,"LINESTRING (-111.9275146 33.4245016, -111.927418 33.4245018, -111.926471 33.424506, -111.9263814 33.4245047)",auto,1,0.21759055
South Alpha Drive,33,872138142,52,424,,129.4204733,1,29,1000,unclassified,11,"LINESTRING (-111.9275146 33.4245016, -111.9275138 33.4244324, -111.9275107 33.4233377)",auto,1,0.267766496
South Farmer Avenue,34,5590090,53,3,,76.11496408,1,29,1000,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9442627 33.4302)",auto,1,0.157479236
South Farmer Avenue,35,305490064,53,54,,42.41343824,1,29,1000,tertiary,5,"LINESTRING (-111.9442567 33.4295155, -111.9442632 33.4293622, -111.9442672 33.4292694, -111.9442868 33.4292012, -111.9443252 33.4291446)",auto,1,0.087751941
West 1st Street,36,23617739,53,133,,62.362085,1,29,1000,tertiary,5,"LINESTRING (-111.9442567 33.4295155, -111.9438891 33.4295138, -111.9435847 33.4295124)",auto,1,0.129025003
South Farmer Avenue,37,305490064,54,53,,42.41343824,1,29,1000,tertiary,5,"LINESTRING (-111.9443252 33.4291446, -111.9442868 33.4292012, -111.9442672 33.4292694, -111.9442632 33.4293622, -111.9442567 33.4295155)",auto,1,0.087751941
